Hẹp động_mạch thận phải có tiến_hành hiến thận được không ?	method_diagnosis
Trẻ sơ_sinh 2 tháng tuổi vàng mặt , hay khóc thét có phải bị vàng da nhân não không ?	method_diagnosis
Đau_nhức răng_hàm , ê buốt răng cần điều_trị thế_nào ?	treatment
75 tuổi mắc ung_thư tiền_liệt_tuyến có nên cắt tinh_hoàn không ?	method_diagnosis
Bị gãy xương ngón chân có đáng lo_ngại không ?	severity
Làm_sao để giảm tiết mồ_hôi nách ?	treatment
Đau_đầu , mỏi phần hốc mắt và đau 2 bên thái_dương dấu_hiệu bệnh gì ?	method_diagnosis
Sau sảy thai có_thể ăn chua không ?	method_diagnosis
Tất_cả trường_hợp u máu não cần_thiết phải điều_trị không , thưa bác_sĩ ?	treatment
Sau sinh 16 tháng chưa có kinh_nguyệt phải làm_sao ?	treatment
Được chẩn_đoán ngoại tâm thu nhẹ , phải làm_sao ?	treatment
Trẻ sơ_sinh có_thể kiểm_tra thính_lực khi nào ?	method_diagnosis
Mắc ống động_mạch chủ có cần phẫu_thuật không ?	treatment
Sử_dụng thuốc tránh thai khẩn_cấp sau khi mổ lấy thai ngoài tử_cung	method_diagnosis
Giải_pháp điều_trị K dạ_dày và polyp hang môn vị	treatment
Thưa bác_sĩ , bệnh hẹp van hai lá sẽ tiến_triển ra sao ạ ?	method_diagnosis
Bé đi phân sống trong 1 tháng có sao không ?	severity
Phương_pháp điều_trị trào ngược thực_quản dứt_điểm	treatment
Tiêm mũi 1 và mũi 2 phòng Viêm não Nhật_Bản cách nhau 1 tháng có sao không ?	severity
Người cao_tuổi bị tiểu_đường , cao huyết_áp có_thể làm sinh_thiết không ?	method_diagnosis
Ra dịch_âm đạo màu nâu sau sạch kinh 2 tuần có phải dấu_hiệu mang thai ?	method_diagnosis
Có kinh_nguyệt sau khi quan_hệ có_thai không ?	method_diagnosis
Triệt_sản sau 2 năm có mang thai được nữa không ?	method_diagnosis
Bé gái 8 tuổi có dấu_hiệu ngực nhô lên có phải dậy_thì sớm không ?	method_diagnosis
Điều_trị u máu ở đầu cho trẻ sinh non được 5 tháng tuổi có ảnh_hưởng gì không ?	severity
Mưng mủ sau khi cắt mí được 4 ngày có nguy_hiểm không ?	severity
Trẻ 2 tuổi khó ngủ , biếng ăn cần làm gì ?	treatment
Thường_xuyên bị giật_mình , ép tim khó thở là dấu_hiệu của bệnh gì ?	method_diagnosis
Lớp 9 chưa dậy_thì có vấn_đề gì không ?	severity
Dùng thuốc cảm cúm khi đang điều_trị viêm gan B có được không ?	method_diagnosis
Đau thắt ngực vào ban_đêm là dấu_hiệu bệnh gì ?	method_diagnosis
Cảm_giác nghẹt ở giữa mũi và vòm họng , khó thở bằng mũi cảnh_báo bệnh gì ?	method_diagnosis
Mắt bị mờ , khó nhìn cần làm gì giúp khắc_phục ?	treatment
Sau mổ tái_tạo dây_chằng 2 năm vẫn bị nhói đau , phải làm gì ?	treatment
Bé 27 ngày tuổi thường nôn trớ , quấy khóc , ngủ hay giật_mình có bệnh gì không ?	method_diagnosis
Xét_nghiệm FSH tăng nhẹ , tinh_dịch đồ thấp có phải suy sinh_dục không ?	method_diagnosis
Thuốc tránh thai định_kỳ có làm tăng nguy_cơ sỏi túi_mật ?	method_diagnosis
Bị bệnh lao hạch và lao_phổi cùng lúc có chữa khỏi được không ?	treatment
Bé được 1 tháng 21 ngày thì có tiêm lao được không ?	method_diagnosis
