sentence: hình dạng và tín hiệu các cấu trúc entity* cx entity* , chất trắng trên và dưới lều , nhân xám trung ương , thể chai thấy được trên phim trong giới hạn bình thường word: chất xám	1
sentence: hình dạng và tín hiệu các cấu trúc entity* cx entity* , chất trắng trên và dưới lều , nhân xám trung ương , thể chai thấy được trên phim trong giới hạn bình thường word: chất xám	0
sentence: sau tiêm nghi ngờ tăng ngấm thuốc thành entity* tq entity* đoạn này ( chưa loại trừ tăng ngấm do viêm nếu sau điều trị xạ ) word: thực quản	1
sentence: sau tiêm nghi ngờ tăng ngấm thuốc thành entity* tq entity* đoạn này ( chưa loại trừ tăng ngấm do viêm nếu sau điều trị xạ ) word: thực quản	0
sentence: siêu âm tim đánh dấu mô : sức căng entity* ct entity* theo trục dọc -4.5% word: cơ tim	1
sentence: siêu âm tim đánh dấu mô : sức căng entity* ct entity* theo trục dọc -4.5% word: cơ tim	0
sentence: vết mổ eo tử cung và thành bụng không thấy khối entity* bt entity* word: bất thường	1
sentence: vết mổ eo tử cung và thành bụng không thấy khối entity* bt entity* word: bất thường	0
sentence: không thấy nốt nghi ngờ tổn thương entity* tp entity* ở nhu mô phổi hai bên word: thứ phát	1
sentence: không thấy nốt nghi ngờ tổn thương entity* tp entity* ở nhu mô phổi hai bên word: thứ phát	0
sentence: diện khớp : entity* bx entity* , sụn không đều , ổ khuyết sụn ở khe bánh chè đùi trong kèm phù tủy xương dưới sụn word: bờ xương	1
sentence: diện khớp : entity* bx entity* , sụn không đều , ổ khuyết sụn ở khe bánh chè đùi trong kèm phù tủy xương dưới sụn word: bờ xương	0
sentence: các xương vùng entity* kg entity* : đụng dập vùng mâm chày ngoài với tăng tín hiệu trên xung t2w , tirm , pd fs , giảm tín hiệu trên xung t1w word: khớp gối	1
sentence: các xương vùng entity* kg entity* : đụng dập vùng mâm chày ngoài với tăng tín hiệu trên xung t2w , tirm , pd fs , giảm tín hiệu trên xung t1w word: khớp gối	0
sentence: tuyến vú trái nhu mô tuyến vú vị trí 1h30 - cách núm vú 35 mm có nốt giảm âm , hình val , bờ đều , giới hạn rõ , trục lớn sng sng với entity* md entity* , không cản âm phía sau , không vôi hóa , kích thước khoảng 5 x 4,1 mm word: mặt da	1
sentence: tuyến vú trái nhu mô tuyến vú vị trí 1h30 - cách núm vú 35 mm có nốt giảm âm , hình val , bờ đều , giới hạn rõ , trục lớn sng sng với entity* md entity* , không cản âm phía sau , không vôi hóa , kích thước khoảng 5 x 4,1 mm word: mặt da	0
